ID;latitude;longitude;tags
1474859059;40.3267845;23.8926889;[]
1474859060;40.3270559;23.8931165;[]
1474859062;40.3270876;23.8957375;[]
1474859065;40.3275646;23.9251969;[]
1474859066;40.3275794;23.8961487;[]
1474859068;40.3276753;23.8936034;[]
1474859070;40.3277369;23.8965511;[]
1474859071;40.3279128;23.8968767;[]
1474859072;40.3279695;23.8937813;[]
1474859073;40.3279742;23.8936127;[]
1474859075;40.3287378;23.9239485;[]
1474859076;40.3281478;23.8929879;[]
1474859077;40.3283498;23.8972464;[]
1474859079;40.3286165;23.9229755;[]
1474859080;40.328736;23.894182;[]
1474859081;40.328817;23.8974148;[]
1474859082;40.3289378;23.9232495;[]
1474859083;40.3284135;23.8918913;[]
1474859084;40.3286196;23.8911604;[]
1474859085;40.3291876;23.8934578;[]
1474859086;40.3293482;23.8974704;[]
1474859087;40.329618;23.8975267;[]
1474859092;40.3300684;23.8978024;[]
1474859099;40.3303125;23.8933166;[]
1474859104;40.3305039;23.897748;[]
1474859106;40.33083;23.9214389;[]
1474859108;40.3310775;23.8979257;[]
1474859110;40.3306912;23.8931854;[]
1474859111;40.3310285;23.9217391;[]
1474859112;40.3304371;23.8927055;[]
1474859113;40.3306785;23.9197111;[]
1474859114;40.3310018;23.8935903;[]
1474859116;40.3312731;23.8939136;[]
1474859118;40.3312586;23.9220898;[]
1474859121;40.3313189;23.921429;[]
1474859123;40.3315408;23.9217616;[]
1474859124;40.3315945;23.9205117;[]
1474859126;40.3317282;23.9227822;[]
1474859127;40.3318749;23.8953807;[]
1474859128;40.3317528;23.9182245;[]
1474859129;40.3318119;23.8948844;[]
1474859130;40.3318265;23.9214341;[]
1474859131;40.3318143;23.9208828;[]
1474859132;40.332009;23.9192188;[]
1474859134;40.3319843;23.916395;[]
1474859135;40.331998;23.8980458;[]
1474859137;40.3319961;23.9199706;[]
1474859139;40.3320058;23.9212495;[]
1474859140;40.3320277;23.9224807;[]
1474859141;40.332083;23.915538;[]
1474859142;40.332221;23.9125104;[]
1474859144;40.3321903;23.9215616;[]
1474859145;40.3323427;23.9113423;[]
1474859146;40.3322532;23.913474;[]
1474859147;40.3322691;23.9228664;[]
1474859148;40.3324009;23.89637;[]
1474859150;40.3324612;23.9081746;[]
1474859151;40.3324348;23.92023;[]
1474859152;40.3324259;23.9195978;[]
1474859153;40.3325342;23.9074952;[]
1474859154;40.3325046;23.9108702;[]
1474859157;40.3325594;23.9100019;[]
1474859158;40.3325454;23.9206719;[]
1474859159;40.3326156;23.9087714;[]
1474859161;40.3326514;23.9096384;[]
1474859162;40.3327674;23.8970299;[]
1474859165;40.3328738;23.9067503;[]
1474859168;40.3328528;23.8986555;[]
1474859170;40.333023;23.9062695;[]
1474859174;40.3329912;23.9207014;[]
1474859176;40.3332728;23.8986896;[]
1474859177;40.3333103;23.9055252;[]
1474859178;40.3333895;23.8976113;[]
1474859184;40.3336144;23.9203383;[]
1474859186;40.33364;23.8998737;[]
1474859188;40.3337223;23.8981376;[]
1474859190;40.3336652;23.9204848;[]
1474859192;40.3336839;23.9047179;[]
1474859196;40.3338759;23.9203272;[]
1474859202;40.3338946;23.8985459;[]
1474859206;40.3339769;23.9198109;[]
1474859208;40.3340251;23.9036511;[]
1474859210;40.334177;23.8995746;[]
1474859211;40.3344355;23.9216431;[]
1474859216;40.334115;23.9210866;[]
1474859219;40.3341843;23.9030032;[]
1474859221;40.3342669;23.9023553;[]
1474859226;40.3343214;23.900663;[]
1474859227;40.3340925;23.9196339;[]
1474859230;40.3344165;23.9016608;[]
